Date,Open,High,Low,Close,Adj Close,Volume
20-05-15,13.035,13.2495,13.035,13.1835,10.80698942,274032
21-05-15,13.0845,13.3155,13.068,13.2,10.82051451,240108
22-05-15,13.365,13.596,13.299,13.53,11.09102627,296010
25-05-15,13.3815,13.497,13.0845,13.1175,10.75288606,221859
26-05-15,13.233,13.299,13.134,13.1835,10.80698942,103653
27-05-15,13.1835,13.299,13.1835,13.2,10.82051451,150348
28-05-15,13.53,13.596,13.398,13.497,11.0639761,293469
29-05-15,13.53,13.6785,13.53,13.6785,11.21275808,361218
01-06-15,13.794,13.794,13.431,13.53,11.09102627,164208
02-06-15,13.6125,13.6785,13.464,13.53,11.09102627,177243
03-06-15,13.563,13.7115,13.5135,13.53,11.09102627,121374
04-06-15,13.53,13.53,13.299,13.299,10.90166903,193743
05-06-15,13.266,13.3155,13.134,13.2165,10.83403959,184866
08-06-15,13.2,13.299,13.068,13.2165,10.83403959,107415
09-06-15,13.266,13.497,13.233,13.2495,10.86109276,119658
10-06-15,13.365,13.497,13.299,13.3155,10.91519312,158829
11-06-15,13.3485,13.431,13.233,13.3155,10.91519312,138567
12-06-15,13.4145,13.794,13.3485,13.728,11.25333535,239679
15-06-15,13.794,13.8435,13.4475,13.497,11.0639761,189189
16-06-15,13.5795,13.7445,13.563,13.6125,11.15865472,137313
17-06-15,13.7115,14.025,13.629,14.0085,11.48326988,315315
18-06-15,13.959,14.0085,13.86,13.9425,11.42916852,160314
22-06-15,14.025,14.388,14.025,14.322,11.74025856,267267
23-06-15,14.4375,14.5035,14.058,14.058,11.52384816,222486
24-06-15,14.025,14.0415,13.8765,13.9095,11.40211835,173415
25-06-15,13.926,14.2725,13.926,14.2725,11.6996813,195195
26-06-15,14.124,14.223,13.926,14.025,11.49679595,206151
29-06-15,13.86,14.1075,13.86,14.058,11.52384816,167970
30-06-15,14.058,14.058,13.893,13.926,11.41564241,147213
01-07-15,13.992,14.19,13.992,14.1075,11.56442542,132594
02-07-15,14.0085,14.091,13.893,13.893,11.38859126,151866
03-07-15,13.86,14.058,13.8105,14.058,11.52384816,154110
06-07-15,13.893,14.0085,13.827,13.827,11.3344899,117414
07-07-15,13.794,13.926,13.6455,13.794,11.30743571,184503
08-07-15,13.6785,13.695,13.2,13.299,10.90166903,380358
09-07-15,12.87,13.266,12.771,13.2,10.82051451,453321
10-07-15,13.2,13.2,13.2,13.2,10.82051451,0
13-07-15,12.903,13.2,12.903,13.134,10.76641114,264825
